Gene "ID_REF"	"GSM243346"	"GSM243347"	"GSM243348"	"GSM243349"	"GSM243350"	"GSM243351"
12464 "1415868_at"	46	40.1	55.3	58.8	51	38.9
21849 "1415869_a_at"	3444.2	3547.7	2919.2	2873.7	2788.3	3127.5
12321 "1415870_at"	1569.9	1600.5	1501.4	1436.9	1475.4	1575.3
21810 "1415871_at"	1447.6	1056.2	1190.2	1300.6	1679.7	1440.3
59013 "1415872_at"	4066.1	4251.6	4160.5	4144.2	3950.3	4068.2
54130 "1415873_a_at"	744.1	635.6	587.7	550.1	623.7	579.4
24063 "1415874_at"	677.9	714.3	525.9	564.9	488.3	601.3
109163 "1415875_at"	18.4	33	25.8	63.2	40.7	36.3
27370 "1415876_a_at"	6937.2	7029	6222.7	6635.6	6530.3	6671.8
22240 "1415877_at"	200.1	77.9	180.6	199.4	232.3	200.1
20133 "1415878_at"	1308.6	1545.6	1552.3	1664.3	1577.9	1566.2
67186 "1415879_a_at"	10405.6	10740.7	9642.4	9647	9574.4	9932.1
16783 "1415880_a_at"	1539.5	1485.8	1489.4	1405.3	1522.6	1402.1
66092 "1415881_at"	667.6	623.7	571.5	620.8	638	695.8
66092 "1415882_at"	963.4	1195.8	1028.7	1098.4	1070.1	1180.3
67868 "1415883_a_at"	1.8	0.6	2	1.8	0.7	0.6
67868 "1415884_at"	29.8	29.7	51.6	57.2	43.9	36.7
12653 "1415885_at"	697.2	34.2	113.6	533.1	131.3	16.1
27387 "1415886_at"	103.7	69.3	75.8	77.5	84.4	93.4
21787 "1415887_at"	1314.9	1522.9	1388.1	1364.1	1388.6	1445.6
15191 "1415888_at"	833	700.5	644.8	556.2	497.6	570.7
22027 "1415889_a_at"	4189.3	3668.1	4043.3	3526.8	3759.2	3146.2
23971 "1415890_at"	910.9	869.6	872.5	819.5	870.4	917.2
56451 "1415891_at"	1154.1	1267.5	1119.6	1168.1	1043.9	1211.8
20397 "1415892_at"	428.3	322.5	278.4	304.9	331.5	306.9
20397 "1415893_at"	123.4	81.2	96	109.1	120.4	98.6
18606 "1415894_at"	60.4	52.1	62.2	61.5	84.8	68.1
NA "1415895_at"	482.2	603.5	632.5	562.4	587.4	618.3
NA "1415896_x_at"	397.4	404.6	435.6	410	379.1	422
56615 "1415897_a_at"	1140.9	1136.5	1052.1	1150	1220.4	1252.6
56615 "1415898_at"	5.3	0.4	1.4	4.1	10.4	1.1
16477 "1415899_at"	31.3	21.2	15.1	21.6	10.4	12.7
16590 "1415900_a_at"	76.3	38.8	47.5	38.3	36.6	27.8
26433 "1415901_at"	317.5	269.7	270.7	246	247.6	270.6
110695 "1415902_at"	5.7	1.3	2.8	1.4	1.7	1.4
